<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IJC,20151202,7.69,7.88,7.69,7.79,242870,8.10,8.30,8.10,8.20,0,10000,40340
IJC,20151201,7.79,7.88,7.70,7.69,212430,8.20,8.30,8.10,8.10,0,0,60540
IJC,20151130,7.79,8.07,7.70,7.79,571400,8.20,8.50,8.10,8.20,0,3000,0
IJC,20151127,7.98,8.07,7.70,7.79,430290,8.40,8.50,8.10,8.20,0,0,5000
IJC,20151126,7.88,8.16,7.88,7.98,352990,8.30,8.60,8.30,8.40,0,0,5000
IJC,20151125,8.07,8.07,7.88,7.88,438860,8.50,8.50,8.30,8.30,0,0,62440
IJC,20151124,8.27,8.36,8.07,8.07,539170,8.70,8.80,8.50,8.50,0,0,0
IJC,20151123,8.45,8.45,8.26,8.36,554090,8.90,8.90,8.70,8.80,0,100,0
IJC,20151120,7.88,8.27,7.88,8.26,862640,8.30,8.70,8.30,8.70,0,20000,0
IJC,20151119,7.97,7.97,7.79,7.79,334690,8.40,8.40,8.20,8.20,0,0,43530
IJC,20151118,7.98,8.07,7.79,7.88,327670,8.40,8.50,8.20,8.30,0,0,33750
IJC,20151117,7.98,8.07,7.88,8.07,468900,8.40,8.50,8.30,8.50,0,200,66020
IJC,20151116,7.98,8.07,7.79,7.98,191360,8.40,8.50,8.20,8.40,0,0,0
IJC,20151113,7.88,8.07,7.88,7.98,272270,8.30,8.50,8.30,8.40,0,0,0
IJC,20151112,7.98,7.98,7.79,7.98,322710,8.40,8.40,8.20,8.40,0,0,0
IJC,20151111,8.26,8.26,7.88,7.98,521540,8.70,8.70,8.30,8.40,0,5700,10000
IJC,20151110,8.45,8.45,8.07,8.26,268510,8.90,8.90,8.50,8.70,0,600,15000
IJC,20151109,8.36,8.45,8.26,8.26,170730,8.80,8.90,8.70,8.70,0,20230,6500
IJC,20151106,8.46,8.55,8.27,8.45,271560,8.90,9.00,8.70,8.90,0,0,12170
IJC,20151105,8.46,8.55,8.46,8.55,158430,8.90,9.00,8.90,9.00,0,0,6600
IJC,20151104,8.64,8.64,8.46,8.55,301550,9.10,9.10,8.90,9.00,0,38240,0
IJC,20151103,8.27,8.55,8.27,8.55,467650,8.70,9.00,8.70,9.00,0,152880,19460
IJC,20151102,8.35,8.35,8.17,8.17,307850,8.80,8.80,8.60,8.60,0,0,10640
IJC,20151030,8.46,8.46,8.27,8.26,218790,8.90,8.90,8.70,8.70,0,0,14000
IJC,20151029,8.46,8.46,8.17,8.36,378700,8.90,8.90,8.60,8.80,0,0,25000
IJC,20151028,8.36,8.55,8.36,8.36,307060,8.80,9.00,8.80,8.80,0,0,15120
IJC,20151027,8.55,8.55,8.36,8.36,402290,9.00,9.00,8.80,8.80,0,0,0
IJC,20151026,8.55,8.74,8.46,8.55,218970,9.00,9.20,8.90,9.00,0,63720,0
IJC,20151023,8.74,8.74,8.55,8.55,420860,9.20,9.20,9.00,9.00,0,5000,0
IJC,20151022,8.46,8.74,8.36,8.74,1102210,8.90,9.20,8.80,9.20,0,50240,606640
IJC,20151021,8.84,8.84,8.55,8.55,665190,9.30,9.30,9.00,9.00,231250,0,225130
IJC,20151020,9.21,9.21,8.93,8.93,371160,9.70,9.70,9.40,9.40,0,0,247400
IJC,20151019,9.21,9.30,9.12,9.21,142840,9.70,9.80,9.60,9.70,0,840,0
IJC,20151016,9.21,9.40,9.12,9.21,580190,9.70,9.90,9.60,9.70,0,0,12000
IJC,20151015,9.30,9.30,9.02,9.21,500850,9.80,9.80,9.50,9.70,0,60630,0
IJC,20151014,9.31,9.50,9.12,9.21,596150,9.80,10.00,9.60,9.70,0,60630,0
IJC,20151013,9.21,9.40,9.21,9.31,351940,9.70,9.90,9.70,9.80,0,60860,0
IJC,20151012,9.49,9.49,9.21,9.31,442130,10.00,10.00,9.70,9.80,0,60660,0
IJC,20151009,9.50,9.68,9.31,9.40,840560,10.00,10.20,9.80,9.90,0,65660,0
IJC,20151008,9.03,9.60,9.03,9.59,1831680,9.50,10.10,9.50,10.10,0,710800,100
IJC,20151007,8.83,9.40,8.74,9.12,1479510,9.30,9.90,9.20,9.60,0,581390,0
IJC,20151006,8.45,8.83,8.35,8.83,1358600,8.90,9.30,8.80,9.30,0,417220,302000
IJC,20151005,8.07,8.36,7.98,8.26,1243990,8.50,8.80,8.40,8.70,0,467540,103000
IJC,20151002,8.36,8.36,8.07,8.17,427190,8.80,8.80,8.50,8.60,0,0,165460
IJC,20151001,8.46,8.46,8.27,8.36,110180,8.90,8.90,8.70,8.80,0,300,0
IJC,20150930,8.45,8.45,8.26,8.36,218120,8.90,8.90,8.70,8.80,0,3300,150000
