<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DIG,20150915,9.34,9.68,9.34,9.52,670720,10.90,11.30,10.90,11.10,0,0,20000
DIG,20150914,9.60,9.69,9.34,9.34,373900,11.20,11.30,10.90,10.90,0,0,0
DIG,20150911,9.60,9.94,9.51,9.60,839250,11.20,11.60,11.10,11.20,0,0,40520
DIG,20150910,9.60,9.69,9.43,9.60,304480,11.20,11.30,11.00,11.20,0,0,90000
DIG,20150909,9.61,9.78,9.52,9.69,862750,11.20,11.40,11.10,11.30,0,0,190000
DIG,20150908,9.17,9.52,9.17,9.52,547040,10.70,11.10,10.70,11.10,0,0,0
DIG,20150907,9.51,9.69,9.26,9.26,551800,11.10,11.30,10.80,10.80,0,0,40000
DIG,20150904,9.77,9.95,9.60,9.60,259190,11.40,11.60,11.20,11.20,0,0,48770
DIG,20150903,9.77,10.11,9.60,9.86,1313590,11.40,11.80,11.20,11.50,0,144430,190140
DIG,20150901,8.91,9.60,8.91,9.60,1334930,10.40,11.20,10.40,11.20,0,236060,0
DIG,20150831,9.09,9.18,8.92,9.00,428030,10.60,10.70,10.40,10.50,0,132510,0
DIG,20150828,9.01,9.09,8.83,9.09,513970,10.50,10.60,10.30,10.60,0,30000,0
DIG,20150827,8.92,9.09,8.83,8.92,795020,10.40,10.60,10.30,10.40,0,40,0
DIG,20150826,8.23,8.91,8.23,8.83,803320,9.60,10.40,9.60,10.30,0,88510,0
DIG,20150825,8.06,8.48,7.97,8.40,893550,9.40,9.90,9.30,9.80,0,81610,68120
DIG,20150824,9.00,9.00,8.57,8.57,1156880,10.50,10.50,10.00,10.00,0,65940,45530
DIG,20150821,9.52,9.60,9.09,9.17,1351560,11.10,11.20,10.60,10.70,0,71000,0
DIG,20150820,9.86,9.86,9.60,9.69,446520,11.50,11.50,11.20,11.30,0,0,93110
DIG,20150819,9.78,9.95,9.69,9.86,690560,11.40,11.60,11.30,11.50,0,0,120000
DIG,20150818,9.69,9.86,9.51,9.69,597840,11.30,11.50,11.10,11.30,0,150000,44000
DIG,20150817,10.04,10.04,9.61,9.60,410530,11.70,11.70,11.20,11.20,0,0,0
DIG,20150814,9.86,10.04,9.69,9.95,515860,11.50,11.70,11.30,11.60,0,30000,0
DIG,20150813,10.12,10.20,9.86,9.95,636070,11.80,11.90,11.50,11.60,0,0,1700
DIG,20150812,10.12,10.21,10.03,10.03,613250,11.80,11.90,11.70,11.70,0,11100,0
DIG,20150811,10.29,10.38,10.12,10.12,389570,12.00,12.10,11.80,11.80,0,0,0
DIG,20150810,10.20,10.29,10.20,10.29,245890,11.90,12.00,11.90,12.00,0,0,0
DIG,20150807,10.29,10.29,10.20,10.29,172590,12.00,12.00,11.90,12.00,0,0,0
DIG,20150806,10.46,10.46,10.20,10.29,446400,12.20,12.20,11.90,12.00,0,0,0
DIG,20150805,10.03,10.46,10.03,10.46,539350,11.70,12.20,11.70,12.20,0,100000,0
DIG,20150804,10.03,10.20,9.94,10.03,525990,11.70,11.90,11.60,11.70,0,120000,730
DIG,20150803,10.20,10.20,9.95,10.03,640660,11.90,11.90,11.60,11.70,0,30000,0
DIG,20150731,10.46,10.55,10.29,10.29,447160,12.20,12.30,12.00,12.00,20000,140000,20000
DIG,20150730,10.55,10.55,10.37,10.46,359880,12.30,12.30,12.10,12.20,0,41890,0
DIG,20150729,10.64,10.64,10.46,10.46,555830,12.40,12.40,12.20,12.20,100000,330000,0
DIG,20150728,10.38,10.72,10.38,10.55,991410,12.10,12.50,12.10,12.30,30000,100000,0
DIG,20150727,10.46,10.55,10.29,10.29,1279480,12.20,12.30,12.00,12.00,0,0,270000
DIG,20150724,10.37,10.55,10.37,10.46,652870,12.10,12.30,12.10,12.20,0,0,0
DIG,20150723,10.72,10.81,10.38,10.46,650280,12.50,12.60,12.10,12.20,0,920,10100
DIG,20150722,10.28,10.71,10.28,10.72,777320,12.00,12.50,12.00,12.50,0,160000,8960
DIG,20150721,10.55,10.64,10.29,10.37,456310,12.30,12.40,12.00,12.10,0,5000,2440
DIG,20150720,10.54,10.54,10.29,10.55,742810,12.30,12.30,12.00,12.30,0,0,0
DIG,20150717,10.63,10.80,10.63,10.63,807790,12.40,12.60,12.40,12.40,0,100500,0
DIG,20150716,10.63,10.89,10.63,10.63,901940,12.40,12.70,12.40,12.40,0,5080,10000
DIG,20150715,11.24,11.24,10.81,10.80,1154290,13.10,13.10,12.60,12.60,0,0,0
DIG,20150714,10.97,11.40,10.97,11.15,1994050,12.80,13.30,12.80,13.00,0,0,0
DIG,20150713,10.72,11.06,10.63,10.97,2067280,12.50,12.90,12.40,12.80,0,0,13490
DIG,20150710,10.63,10.80,10.54,10.63,1569300,12.40,12.60,12.30,12.40,0,500,20000
DIG,20150709,10.37,10.63,10.29,10.63,1314540,12.10,12.40,12.00,12.40,0,0,38810
DIG,20150708,10.63,10.72,10.37,10.46,953660,12.40,12.50,12.10,12.20,0,0,0
DIG,20150707,10.72,10.89,10.55,10.63,1279680,12.50,12.70,12.30,12.40,0,0,15890
DIG,20150706,10.46,10.80,10.28,10.72,1914770,12.20,12.60,12.00,12.50,21900,0,42000
DIG,20150703,10.54,10.54,10.28,10.37,885160,12.30,12.30,12.00,12.10,0,0,117840
DIG,20150702,10.20,10.46,10.20,10.37,412170,11.90,12.20,11.90,12.10,0,0,0
DIG,20150701,10.20,10.38,10.03,10.20,920720,11.90,12.10,11.70,11.90,0,0,330420
DIG,20150630,10.38,10.64,10.29,10.29,1624500,12.10,12.40,12.00,12.00,0,12000,0
DIG,20150629,10.37,10.54,10.28,10.55,578870,12.10,12.30,12.00,12.30,0,0,0
DIG,20150626,10.46,10.64,10.38,10.37,805260,12.20,12.40,12.10,12.10,0,210000,60000
DIG,20150625,10.29,10.80,10.12,10.55,3581870,12.00,12.60,11.80,12.30,0,0,1318870
DIG,20150624,10.46,10.46,10.20,10.29,538870,12.20,12.20,11.90,12.00,826000,0,118820
DIG,20150623,10.28,10.63,10.28,10.46,490480,12.00,12.40,12.00,12.20,0,10040,60000
DIG,20150622,10.29,10.55,10.20,10.37,367350,12.00,12.30,11.90,12.10,0,0,11010
DIG,20150619,10.21,10.63,10.21,10.29,1193800,11.90,12.40,11.90,12.00,826000,92420,137650
DIG,20150618,10.03,10.21,10.03,10.12,413130,11.70,11.90,11.70,11.80,100000,0,30400
DIG,20150617,10.20,10.29,10.03,10.12,762500,11.90,12.00,11.70,11.80,0,4000,900
DIG,20150616,10.37,10.63,10.29,10.29,958380,12.10,12.40,12.00,12.00,0,0,3130
DIG,20150615,10.46,10.89,10.29,10.46,889040,12.20,12.70,12.00,12.20,0,0,60000
DIG,20150612,10.64,10.64,10.38,10.46,3182490,12.40,12.40,12.10,12.20,0,3000,194120
DIG,20150611,9.51,9.94,9.51,9.95,1079770,11.10,11.60,11.10,11.60,144080,0,159700
